image,chosen_mode,score,accepted,suspect,reason,coverage,width_frac,height_frac,area_frac,continuity,y_center_frac,median_thickness,thickness_iqr,thickness_var_norm,components_count,interruptions_count,nodules_count
0.jpg,pathologic,8.331539943878497,True,False,ok,0.37803030303030305,0.4772727272727273,0.3919308357348703,0.007083442494105318,0.792063492063492,0.5043227665706052,13.0,8.5,0.6538461538461539,2,1,3
1.jpg,pathologic,8.874490440569822,True,False,ok,0.44393939393939397,0.44393939393939397,0.08789625360230548,0.00925137542572701,1.0,0.44668587896253603,16.0,11.0,0.6875,1,0,3
2.jpg,pathologic,9.011632954956774,True,False,ok,0.4922850844966936,0.523879500367377,0.07492795389048991,0.012840194212172352,0.9396914446002805,0.4711815561959654,14.0,16.75,1.1964285714285714,2,1,0
3.jpg,pathologic,8.392802945804739,True,False,ok,0.39603232916972814,0.426157237325496,0.08357348703170028,0.009238418098236802,0.9293103448275862,0.4495677233429395,15.0,6.0,0.4,2,0,3
4.jpg,pathologic,8.837854130911447,True,False,ok,0.4180749448934607,0.4180749448934607,0.0936599423631124,0.011764531504424403,1.0,0.484149855907781,21.0,12.0,0.5714285714285714,1,2,2
5.jpg,pathologic,8.3513090575756,True,False,ok,0.4114621601763409,0.4114621601763409,0.08645533141210375,0.008953621574236608,1.0,0.484149855907781,16.0,5.0,0.3125,1,0,0
6.jpg,pathologic,10.103983366452791,True,False,ok,0.7422680412371134,0.8460051546391752,0.12886597938144329,0.009248458922308429,0.8773800456968773,0.465979381443299,12.0,3.0,0.25,3,0,3
7.jpg,pathologic,10.310303100868929,True,False,ok,0.6411082474226805,0.7487113402061856,0.09690721649484536,0.008157083643320226,0.8562822719449226,0.45670103092783504,12.0,3.0,0.25,2,1,3
8.jpg,pathologic,8.98726469110789,True,False,ok,0.47424242424242424,0.47424242424242424,0.16402877697841728,0.008152387181164159,1.0,0.4143884892086331,12.0,6.75,0.5625,4,2,0
9.jpg,pathologic,9.285413691388184,True,False,ok,0.47424242424242424,0.47424242424242424,0.12086330935251799,0.010457815565729235,1.0,0.48345323741007196,14.0,5.0,0.35714285714285715,1,0,3
10.jpg,pathologic,9.259679629701674,True,False,ok,0.4599559147685525,0.4599559147685525,0.21726618705035972,0.009992652461425423,1.0,0.5007194244604316,14.0,4.0,0.2857142857142857,1,0,4
11.jpg,pathologic,9.244511988996843,True,False,ok,0.47832476120499634,0.47832476120499634,0.06762589928057554,0.009116233831450637,1.0,0.4273381294964029,13.0,4.0,0.3076923076923077,1,0,2
12.jpg,pathologic,8.889145453664886,True,False,ok,0.42468772961058043,0.6796473181484203,0.2316546762589928,0.0068263390756902196,0.6248648648648648,0.5453237410071943,11.0,4.0,0.36363636363636365,2,1,1
13.jpg,pathologic,8.08403108211755,True,False,ok,0.3761939750183688,0.3761939750183688,0.07194244604316546,0.006296681978443696,1.0,0.41294964028776976,12.0,4.0,0.3333333333333333,1,0,1
14.jpg,pathologic,7.762636697794934,True,False,ok,0.3328434974283615,0.3328434974283615,0.0460431654676259,0.007165700209854159,1.0,0.39136690647482014,14.0,8.0,0.5714285714285714,1,0,3
15.jpg,pathologic,7.030782804906888,True,False,ok,0.2909625275532697,0.2990448199853049,0.04748201438848921,0.005598930113807558,0.972972972972973,0.4805755395683453,13.0,8.0,0.6153846153846154,2,0,1
16.jpg,pathologic,8.535606727569576,True,False,ok,0.43497428361498897,0.43497428361498897,0.17985611510791366,0.013673822147278504,1.0,0.497841726618705,21.0,13.0,0.6190476190476191,3,0,2
17.jpg,pathologic,8.840598083516657,True,False,ok,0.453030303030303,0.453030303030303,0.24316546762589927,0.020960322650970132,1.0,0.5251798561151079,36.0,26.0,0.7222222222222222,1,0,2
18.jpg,pathologic,8.044426942296827,True,False,ok,0.3795454545454545,0.3795454545454545,0.3132183908045977,0.020034395680947406,1.0,0.6005747126436781,38.0,22.0,0.5789473684210527,2,0,2
19.jpg,pathologic,7.765170826509973,True,False,ok,0.3712121212121212,0.3712121212121212,0.1206896551724138,0.016928988157436434,1.0,0.5086206896551724,37.0,31.0,0.8378378378378378,1,0,0
20.jpg,pathologic,8.04365885714338,True,False,ok,0.3560606060606061,0.3560606060606061,0.1206896551724138,0.01334356495994427,1.0,0.5172413793103449,21.0,26.0,1.2380952380952381,1,1,5
21.jpg,pathologic,8.089016799113953,True,False,ok,0.3560606060606061,0.3560606060606061,0.1206896551724138,0.013332680250783699,1.0,0.5172413793103449,23.0,25.0,1.0869565217391304,1,1,7
22.jpg,pathologic,8.210321098699474,True,False,ok,0.3725202057310801,0.6002939015429831,0.35344827586206895,0.020736738537417553,0.620563035495716,0.4367816091954023,44.0,19.0,0.4318181818181818,2,1,0
23.jpg,normal,7.746171100958043,True,False,ok,0.37803030303030305,0.37803030303030305,0.33045977011494254,0.02017589690003483,1.0,0.6637931034482759,43.0,17.0,0.3953488372093023,1,0,0
24.jpg,pathologic,8.299202428645023,True,False,ok,0.3878787878787879,0.3878787878787879,0.16379310344827586,0.020394679554162312,1.0,0.46551724137931033,39.0,24.0,0.6153846153846154,1,0,3
25.jpg,pathologic,7.128241099956604,False,True,"huge_height,too_tall",0.4553030303030303,0.9848484848484849,0.7672413793103449,0.019141849529780566,0.4623076923076923,0.5416666666666666,31.0,22.0,0.7096774193548387,3,0,6
26.jpg,pathologic,8.255960577105757,True,False,ok,0.3878787878787879,0.3878787878787879,0.12643678160919541,0.013966170323928944,1.0,0.4511494252873563,24.0,19.0,0.7916666666666666,1,0,3
27.jpg,pathologic,8.11483943383895,True,False,ok,0.3712121212121212,0.3712121212121212,0.10488505747126436,0.0102076802507837,1.0,0.5057471264367817,17.0,12.0,0.7058823529411765,1,0,3
28.jpg,pathologic,7.454642023989594,True,False,ok,0.3159090909090909,0.3159090909090909,0.17097701149425287,0.009937739463601533,1.0,0.45977011494252873,21.0,14.0,0.6666666666666666,1,0,2
29.jpg,pathologic,7.893607993605415,True,False,ok,0.3446969696969697,0.3446969696969697,0.16091954022988506,0.00890586903517938,1.0,0.4295977011494253,19.0,7.0,0.3684210526315789,1,1,1
30.jpg,pathologic,6.518655510325872,True,False,ok,0.21748714180749448,0.2777369581190301,0.1896551724137931,0.0048846351989324955,0.783068783068783,0.42528735632183906,15.0,6.0,0.4,2,1,2
31.jpg,pathologic,6.870538961283189,True,False,ok,0.2431818181818182,0.5992424242424242,0.2974137931034483,0.005904954719609892,0.40581542351453853,0.3807471264367816,15.0,8.0,0.5333333333333333,3,0,1
32.jpg,pathologic,7.070473415151929,True,False,ok,0.3053030303030303,0.3053030303030303,0.1839080459770115,0.010262103796586555,1.0,0.4956896551724138,23.0,21.0,0.9130434782608695,1,0,0
33.jpg,pathologic,8.252191525820052,True,False,ok,0.3704545454545455,0.3704545454545455,0.06752873563218391,0.010144548937652386,1.0,0.5876436781609196,18.0,10.0,0.5555555555555556,1,0,4
34.jpg,pathologic,7.856790203235207,True,False,ok,0.35454545454545455,0.3878787878787879,0.11206896551724138,0.009615552072448625,0.9140625,0.4583333333333333,17.0,18.0,1.0588235294117647,2,0,6
35.jpg,pathologic,9.941746461760088,True,False,ok,0.5694342395297576,0.5936811168258633,0.1237410071942446,0.015080955074294716,0.9591584158415841,0.4172661870503597,18.0,8.0,0.4444444444444444,2,0,2
36.jpg,pathologic,10.210631462357112,True,False,ok,0.6568181818181819,0.6643939393939394,0.10237388724035608,0.017957018253754158,0.9885974914481186,0.516320474777448,16.0,9.0,0.5625,2,0,3
37.jpg,pathologic,9.71273569401708,True,False,ok,0.5477272727272727,0.6431818181818182,0.12805755395683452,0.007776324395029431,0.8515901060070671,0.38848920863309355,9.0,15.0,1.6666666666666667,3,2,1
38.jpg,pathologic,10.420991849876744,True,False,ok,0.5704545454545454,0.5704545454545454,0.19568345323741007,0.01052757793764988,1.0,0.38705035971223023,13.0,6.0,0.46153846153846156,2,2,4
39.jpg,pathologic,8.430597525008224,True,False,ok,0.3946969696969697,0.4803030303030303,0.04028776978417266,0.0068432526705908,0.8217665615141956,0.42158273381294964,11.0,6.0,0.5454545454545454,2,1,2
40.jpg,pathologic,8.414190349089555,True,False,ok,0.3931818181818182,0.47878787878787876,0.0460431654676259,0.0068759537824286026,0.8212025316455697,0.42158273381294964,11.0,6.0,0.5454545454545454,2,1,2
41.jpg,pathologic,7.338695029467754,True,False,ok,0.3181484202792065,0.44893460690668624,0.16810344827586207,0.005178114469583724,0.7086743044189853,0.39080459770114945,11.0,4.0,0.36363636363636365,4,1,0
42.jpg,pathologic,6.3600428997094,True,False,ok,0.1984848484848485,0.5651515151515152,0.08201438848920864,0.0025724874645737957,0.3512064343163539,0.40431654676258993,9.0,6.0,0.6666666666666666,4,0,2
43.jpg,pathologic,10.208810753120812,True,False,ok,0.5893939393939394,0.5901515151515152,0.08920863309352518,0.01223784608676695,0.9987163029525032,0.3985611510791367,14.0,5.0,0.35714285714285715,2,0,4
44.jpg,pathologic,8.05596195915384,True,False,ok,0.3651726671565026,0.5246142542248347,0.2647482014388489,0.007173100608418482,0.696078431372549,0.46618705035971225,14.0,6.0,0.42857142857142855,3,1,1
45.jpg,pathologic,7.216453406525812,True,False,ok,0.27406318883174136,0.5150624540778839,0.3424460431654676,0.0056792772982202045,0.5320970042796006,0.45611510791366905,13.0,7.0,0.5384615384615384,2,1,1
46.jpg,pathologic,6.2521726237201865,True,False,ok,0.1888317413666422,0.3908890521675239,0.3669064748201439,0.004611505505367932,0.4830827067669173,0.4618705035971223,18.0,7.0,0.3888888888888889,2,2,0
47.jpg,pathologic,9.776403829156317,True,False,ok,0.5265151515151515,0.5265151515151515,0.08501440922190202,0.022636669286525194,1.0,0.3011527377521614,27.0,26.0,0.9629629629629629,1,1,3
48.jpg,pathologic,9.696551863922863,True,False,ok,0.5143277002204262,0.5143277002204262,0.10230547550432277,0.024913872872760538,1.0,0.25936599423631124,37.0,11.0,0.2972972972972973,1,2,0
49.jpg,pathologic,9.720449583965257,True,False,ok,0.5216752387950037,0.5525349008082292,0.19568345323741007,0.017758842154784623,0.9441489361702128,0.34532374100719426,25.0,10.0,0.4,3,2,1
50.jpg,pathologic,9.408660118719277,True,False,ok,0.4966936076414401,0.5642909625275533,0.1985611510791367,0.015139101063014394,0.8802083333333334,0.34820143884892085,23.0,11.0,0.4782608695652174,2,1,1
51.jpg,pathologic,9.424412450718822,True,False,ok,0.5121212121212121,0.5818181818181818,0.1985611510791367,0.01539132330499237,0.8802083333333334,0.34820143884892085,23.0,11.0,0.4782608695652174,2,0,1
52.jpg,pathologic,9.733738808746155,True,False,ok,0.4984848484848485,0.6598484848484848,0.10503597122302158,0.01722803575321561,0.7554535017221584,0.17410071942446043,26.0,21.0,0.8076923076923077,2,1,4
53.jpg,pathologic,6.520036645826377,True,False,ok,0.22954545454545455,0.22954545454545455,0.027338129496402876,0.0037856987137562677,1.0,0.2316546762589928,12.0,8.0,0.6666666666666666,1,1,0
54.jpg,pathologic,9.109947470468457,True,False,ok,0.45454545454545453,0.5022727272727273,0.08501440922190202,0.015213736791546589,0.9049773755656109,0.3357348703170029,27.0,13.0,0.48148148148148145,3,2,2
55.jpg,pathologic,9.004843840508919,True,False,ok,0.45454545454545453,0.5022727272727273,0.08357348703170028,0.014912453060868046,0.9049773755656109,0.3357348703170029,26.0,13.0,0.5,3,2,1
56.jpg,normal,6.738037918330033,True,False,ok,0.3431818181818182,0.3431818181818182,0.1239193083573487,0.006152301109073444,1.0,0.3645533141210375,11.0,13.0,1.1818181818181819,1,1,0
57.jpg,normal,6.738037918330033,True,False,ok,0.3431818181818182,0.3431818181818182,0.1239193083573487,0.006152301109073444,1.0,0.3645533141210375,11.0,13.0,1.1818181818181819,1,1,0
